tagno,relative,age,sex,Illness,employment,salary,modeofpayment,Air quality,,,,
2019-PAL2-3-0078-02,1,34,2,,,,,34,,,,
2019-PAL-6-0181-03,1,23,2,,2,,,34,,,,
2019-UW-1-0004-02,4,11,2,,1,11000,5,34,,,,
2019-ISU-1-0205,4,14,2,,,,,34,,,,
2019-PAL-6-0251,2,40,1,,1,20000,22,34,,,,
2019-PAL-6-0251,5,13,1,,,,,34,,,,
2019-PAL-6-0251,4,17,2,,2,,,34,,,,
2019-PAL-6-0251,5,19,1,,2,,,34,,,,
2019-WC-3-0095,5,31,1,,1,13000,51,34,,,,
2019-WC-3-0095,5,27,1,,1,13000,5,34,,,,
2019-WC-3-0095,5,22,1,,2,,,34,,,,
2019-WC-3-0095,5,13,1,,,,,34,,,,
2019-WC-3-0095,5,15,1,,2,,,34,,,,
2019-WC-3-0096,2,39,2,,1,10000,5,34,,,,
2019-PAL-3-0123-03,1,43,2,,,,,34,,,,
2019-G2-3-0409-02,1,44,2,,1,18000,22,34,,,,
2019-PAL2-6-0066-02,5,10,1,,,,,34,,,,
2019-PAL2-6-0066-02,5,8,1,,2,,,34,,,,
2019-PAL2-6-0066-03,1,40,2,,2,,,34,,,,
2019-WC-3-0114,1,45,2,,1,5000,27,34,,,,
2019-UW-1-0383,2,61,2,,3,,,34,,,,
2019-UW-1-0420,5,23,1,,1,13000,5,34,,,,
2019-UW-1-0420-04,2,32,2,,1,12000,5,34,,,,
2019-UW-1-0445,6,28,2,,1,15000,5,34,,,,
2019-UW-1-0445,4,48,2,,1,5000,22,34,,,,
2019-UW-1-0420-03,2,27,2,,2,,,34,,,,
2019-PAL-6-0193-02,4,4,2,,,,,34,,,,
2019-PAL-6-0491,7,48,1,,1,15000,5,34,,,,
2019-PAL-6-0491,2,45,2,,1,20000,12,34,,,,
2019-UW-1-0120,1,26,2,,1,12000,5,34,,,,
2019-ISG-1-0003-02,1,53,2,,2,,,34,,,,
2019-UW-1-0469-04,1,39,2,,1,4500,22,34,,,,
2019-UW-6-0015,5,16,1,,2,,,34,,,,
2019-PAL5-2-0053,4,9,2,,,,,34,,,,
2019-PAL5-2-0053,5,8,1,,,,,34,,,,
2019-G2-3-0303,6,14,1,,,,,34,,,,
2019-G2-3-0303,6,12,2,,,,,34,,,,
2019-G2-3-0303,2,62,1,,1,16800,51,34,,,,
2019-G2-3-0303-02,4,7,2,,,,,34,,,,
2019-G2-3-0486-05,1,36,2,,1,6000,51,34,,,,
2019-G2-3-0302,2,36,2,,1,12000,5,34,,,,
2019-G2-3-0303-02,2,32,2,,1,12000,5,34,,,,
2019-PAL-5-0224-02,1,25,1,,1,20000,5,34,,,,
2019-PAL-5-0224-02,5,3,1,,,,,34,,,,
2019-ISU-1-0365-02,5,6,1,,,,,34,,,,
2019-ISU-1-0365-02,1,35,1,,1,18000,5,34,,,,
2019-PAL-5-0564-03,2,37,1,,,,,34,,,,
2019-PAL-6-0307-02,10,12,2,,2,,,34,,,,
2019-PAL-6-0307-02,1,31,2,,,,,34,,,,
2019-ISU-1-0365-02,5,3,1,,,,,34,,,,
2019-ISU-1-0365-02,5,1,1,,,,,34,,,,
2019-G2-3-0593,1,30,2,,2,,,34,,,,
2019-PAL-3-0039-02,2,57,1,,1,12000,22,34,,,,
2019-PAL-1-0151-02,1,49,2,,2,,,34,,,,
2019-WC-3-0114-02,2,36,1,,1,10000,5,34,,,,
2019-WC-3-0114-02,5,12,1,,,,,34,,,,
2019-WC-3-0114-02,4,14,2,,,,,34,,,,
2019-WC-3-0114-02,4,5,2,,,,,34,,,,
2019-PAL-6-0326-02,2,43,1,,2,,,34,,,,
2019-PAL-6-0326-02,5,7,1,,,,,34,,,,
2019-PAL-6-0187-10,1,29,2,,1,15000,5,34,,,,
2019-UW-1-0420-03,1,32,1,,1,13000,5,34,,,,
2019-UW-1-0420-03,5,2,1,,,,,34,,,,
2019-UW-1-0420-03,5,6,1,,,,,34,,,,
2019-UW-6-0213,4,32,2,,1,14000,15,34,,,,
2019-UW-6-0213-02,5,11,1,,,,,34,,,,
2019-UW-6-0213-02,2,32,2,,2,,,34,,,,
2019-WC-3-0035-02,2,31,1,,1,13000,22,34,,,,
2019-WC-3-0035-02,5,4,1,,,,,34,,,,
2019-WC-3-0035-02,4,7,2,,,,,34,,,,
2019-G2-3-0384-02,1,25,2,,2,,,34,,,,
2019-PAL6-2-0017-02,1,45,1,,1,10000,22,34,,,,
2019-PAL6-2-0017-02,5,14,1,,,,,34,,,,
2019-WC-4-0096,2,62,2,,1,40000,26,34,,,,
2019-PAL-3-0127-02,1,64,2,,3,,,34,,,,
2019-PAL-6-0165,1,59,2,,1,20000,11,34,,,,
2019-UW-6-0084-02,2,44,1,,1,25000,5,34,,,,
2019-UW-6-0084-03,2,28,1,,1,12000,13,34,,,,
2019-UW-6-0084-03,5,6,1,,,,,34,,,,
2019-UW-6-0084-03,4,1,2,,,,,34,,,,
2019-UW-6-0084-03,4,4,2,,,,,34,,,,
2019-UW-1-0289,2,58,1,,1,12000,51,34,,,,
2019-ISU-1-0525,5,12,1,,,,,34,,,,
2019-ISU-1-0525,4,8,2,,,,,34,,,,
2019-ISU-1-0525,2,42,1,,1,7000,26,34,,,,
2019-ISG-6-0069-05,1,29,1,,1,12000,5,34,,,,
2019-ISG-6-0069-05,5,3,1,,,,,34,,,,
2019-ISG-6-0069-05,4,7,2,,,,,34,,,,
2019-PAL-6-0015-09,1,53,2,,2,,,34,,,,
2019-ISG-6-0012,5,20,1,,3,,,34,,,,
2019-ISG-6-0014,4,18,2,,2,,,34,,,,
2019-ISG-6-0014,4,16,2,,2,,,34,,,,
2019-ISG-6-0014,5,21,1,,1,10500,51,34,,,,
2019-ISG-6-0014,1,51,1,,1,15000,5,34,,,,
2019-ISG-6-0014,5,23,1,,1,12000,5,34,,,,
2019-ISU-1-0545-04,5,8,1,,,,,34,,,,
2019-ISU-1-0545-04,5,11,1,,,,,34,,,,
2019-ISU-1-0545-04,5,5,1,,,,,34,,,,
2019-ISU-1-0545-04,2,41,1,,1,16800,22,34,,,,
2019-UW-6-0043,1,50,2,,2,,,34,,,,
2019-PAL2-3-0059-02,4,10,2,,,,,34,,,,
2019-PAL2-3-0059-02,4,0,2,,,,,34,,,,
2019-PAL2-3-0059-02,5,12,1,,2,,,34,,,,
2019-PAL2-3-0059-02,2,39,1,,1,14000,5,34,,,,
2019-PAL2-3-0059-02,1,33,2,,,,,34,,,,
2019-PAL4-3-0031,2,42,1,,1,21000,5,34,,,,
2019-WC-6-0077,5,31,1,,2,,,34,,,,
2019-WC-4-0038-03,2,38,2,,1,28000,5,34,,,,
2019-PAL-3-0060-03,2,22,1,,1,8000,5,34,,,,
2019-PAL-6-0527-02,8,27,1,,1,14000,5,34,,,,
2019-PAL-2-0015-02,1,32,2,,2,,,34,,,,
2019-PAL-6-0332-02,1,26,2,,1,12000,5,34,,,,
2019-ISU-1-0344,4,18,2,,1,12000,5,34,,,,
2019-ISU-1-0352,5,24,1,,1,16000,5,34,,,,
2019-ISU-1-0344,2,51,1,,1,12000,22,34,,,,
2019-PAL-6-0408-02,1,23,2,,2,,,34,,,,
2019-PAN-6-0033,4,24,2,,1,19000,5,34,,,,
2019-PAN-6-0033,2,49,1,,1,20000,26,34,,,,
2019-PAN-6-0033,4,20,2,,2,,,34,,,,
2019-PAN-6-0033-03,2,28,1,,1,15000,5,34,,,,
2019-PAN-6-0033-03,5,4,1,,,,,34,,,,
2019-PAN-6-0041,2,41,1,,1,2500,22,34,,,,
2019-PAN-6-0041,5,8,1,,,,,34,,,,
2019-PAN-6-0041,4,13,2,,,,,34,,,,
2019-PAN-6-0041,4,15,2,,2,,,34,,,,
2019-UW-1-0061-02,2,42,1,,1,15000,26,34,,,,
2019-UW-1-0061-02,4,3,2,,,,,34,,,,
2019-PAL-6-0376,2,38,2,,1,15000,22,34,,,,
2019-G2-3-0052,6,9,2,,,,,34,,,,
2019-G2-3-0485-05,1,35,2,,1,13000,5,34,,,,
2019-PAL-6-0408-02,2,36,1,,1,12000,5,34,,,,
2019-G2-3-0113-02,1,24,1,,1,6000,23,34,,,,
2019-G2-3-0413,1,29,1,,1,15000,51,34,,,,
2019-ISU-1-0370-03,4,8,2,,1,18000,5,34,,,,
2019-PAL-6-0211,5,20,1,,2,,,34,,,,
2019-PAL-6-0211,2,47,1,,2,,,34,,,,
2019-PAL-6-0211,5,18,1,,1,14000,51,34,,,,
2019-PAL-6-0211-02,1,23,2,,2,,,34,,,,
2019-UW-1-0090-06,1,30,2,,1,6000,22,34,,,,
2019-WC-4-0163,1,48,2,,3,,,34,,,,
2019-PAL-6-0227-04,1,31,2,,1,12000,5,34,,,,
2019-G2-3-0023-02,1,48,2,,1,20000,5,34,,,,
2019-WC-3-0078-02,5,19,1,,2,,,34,,,,
2019-ISG-6-0070,5,16,1,,,,,34,,,,
2019-ISG-6-0070,5,9,1,,1,13500,26,34,,,,
2019-WC-4-0029,2,39,1,,1,15000,22,34,,,,
2019-WC-4-0029,5,10,1,,,,,34,,,,
2019-WC-4-0029,4,14,2,,,,,34,,,,
2019-WC-4-0029,4,12,2,,,,,34,,,,
2019-UW-6-0296-02,2,44,1,,1,15000,22,34,,,,
2019-UW-6-0297,1,49,2,,1,15000,5,34,,,,
2019-UW-6-0299,1,35,2,,1,20000,5,34,,,,
2019-UW-1-0265-02,3,52,2,,1,15000,5,34,,,,
2019-UW-1-0265-02,2,46,1,,2,,,34,,,,
2019-UW-1-0265-02,5,14,1,,,,,34,,,,
2019-UW-1-0154,2,59,1,,1,10000,5,34,,,,
2019-ISG-6-0058-03,1,27,2,,2,,,34,,,,
2019-ISG-4-0181-02,5,32,1,,2,,,34,,,,
2019-ISG-4-0181-02,2,64,1,,1,3000,23,34,,,,
2019-G2-3-0397-02,4,9,2,,,,,34,,,,
2019-G2-3-0397-02,4,6,2,,,,,34,,,,
2019-G2-3-0397-02,4,7,2,,,,,34,,,,
2019-G2-3-0397-02,2,46,1,,1,14000,5,34,,,,
2019-PAL-6-0037-02,12,35,1,,1,15000,26,34,,,,
2019-PAL-6-0037-02,6,14,1,,,,,34,,,,
2019-PAL-6-0037-02,6,8,2,,,,,34,,,,
2019-PAL-6-0037-02,1,41,2,,1,5000,51,34,,,,
2019-UW-1-0472,2,47,1,,1,15000,51,34,,,,
2019-PAL-6-0345,1,39,2,,1,6000,22,34,,,,
2019-ISU-1-0080-03,4,6,2,,,,,34,,,,
2019-ISU-1-0080-03,4,10,2,,,,,34,,,,
2019-PAL-1-0003-02,1,24,2,,2,,,34,,,,
2019-PAN-6-0027-02,1,27,2,,1,20000,5,34,,,,
2019-UW-1-0288-04,2,33,2,,2,,,34,,,,
2019-PAL-5-0485,2,59,2,,1,20000,26,34,,,,
2019-UW-6-0258,5,10,1,,,,,34,,,,
2019-UW-6-0258,2,48,1,,2,,,34,,,,
2019-PAL3-3-0050,2,59,1,,1,11000,5,34,,,,
2019-PAL-6-0187-04,5,16,1,,2,,,34,,,,
2019-PAL-6-0187-04,4,17,2,,2,,,34,,,,
2019-PAL-6-0187-04,2,45,1,,1,14000,5,34,,,,
2019-ISG-6-0027-04,1,33,2,,3,,,34,,,,
2019-PAL4-3-0003-02,5,16,1,,1,10000,36,34,,,,
2019-UW-6-0091-02,4,3,2,,,,,34,,,,
2019-PAL4-3-0022-02,1,41,2,,2,,,34,,,,
2019-PAL4-3-0022-02,12,28,1,,2,,,34,,,,
2019-G2-3-0434-02,1,30,2,,2,,,34,,,,
2019-ISU-1-0465,1,39,2,,1,23000,5,34,,,,
2019-PAN-2-0413,2,47,2,,1,6000,22,34,,,,
2019-PAL-3-0076-03,6,19,1,,2,,,34,,,,
2019-PAL-3-0076-03,6,17,1,,2,,,34,,,,
2019-WC-4-0509,4,27,2,,1,20000,5,34,,,,
2019-WC-4-0509,5,24,1,,1,14000,5,34,,,,
2019-WC-4-0509,5,26,1,,2,,,34,,,,
2019-PAL-3-0014-06,1,27,2,,1,18000,5,34,,,,
2019-PAL2-3-0003-02,2,37,1,,1,15000,22,34,,,,
2019-PAL-1-0007-03,2,40,2,,1,4500,11,34,,,,
2019-G2-3-0505-02,1,21,2,,2,,,34,,,,
2019-G2-3-0505-02,3,24,2,,2,,,34,,,,
2019-G2-3-0505-02,3,8,2,,,,,34,,,,
2019-UW-6-0292-02,1,23,2,,2,,,34,,,,
2019-PAL2-6-0006,1,36,2,,1,15000,5,34,,,,
2019-UW-6-0109-02,1,32,2,,2,,,34,,,,
2019-PAL-6-0333-02,1,35,2,,3,,,34,,,,
2019-PAL-1-0198,4,3,2,,,,,34,,,,
2019-PAL-1-0198,5,0,1,,1,8000,22,34,,,,
2019-UW-1-0346-02,2,42,1,,1,13000,5,34,,,,
2019-UW-1-0346-02,5,9,1,,,,,34,,,,
2019-UW-1-0346-02,5,15,1,,2,,,34,,,,
2019-UW-6-0222,6,26,1,,1,12000,5,34,,,,
2019-UW-6-0222,4,34,2,,2,,,34,,,,
2019-UW-6-0222-02,2,40,1,,1,6500,11,34,,,,
2019-UW-6-0222-02,5,0,1,,,,,34,,,,
2019-ISU-1-0390-02,1,35,2,,2,,,34,,,,
2019-UW-1-0051,5,15,1,,2,,,34,,,,
2019-PAL-6-0296-02,1,42,2,,1,1500,5,34,,,,
2019-PAL-3-0014-03,2,36,1,,1,10000,51,34,,,,
2019-PAL-3-0014-03,5,4,1,,,,,34,,,,
2019-PAL-3-0014-03,5,3,1,,,,,34,,,,
2019-WC-6-0009,1,37,2,,1,12500,8,34,,,,
2019-ISU-1-0406-02,2,40,2,,2,,,34,,,,
2019-ISG-4-0065-02,5,10,1,,,,,34,,,,
2019-ISG-6-0017-03,1,40,2,,2,,,34,,,,
2019-PAL-5-0155-03,2,63,2,,3,,,34,,,,
2019-PAL-2-0015-02,2,31,1,,1,12000,51,34,,,,
2019-PAL-2-0015-02,5,7,1,,,,,34,,,,
2019-PAL-2-0015-02,5,0,1,,,,,34,,,,
2019-PAL-1-0176-06,1,43,2,,1,21000,22,34,,,,
2019-PAL-5-0832-03,2,37,2,,2,,,34,,,,
2019-PAL4-6-0037,4,26,2,,2,,,34,,,,
2019-PAL4-6-0037,1,50,2,,2,,,34,,,,
2019-PAL4-6-0037,4,17,2,,2,,,34,,,,
2019-PAL-6-0246,2,51,1,,1,8000,5,34,,,,
2019-UW-6-0057,2,77,2,,,,,34,,,,
2019-PAL3-3-0049,5,14,1,,2,,,34,,,,
2019-PAL3-3-0049,4,17,2,,1,15000,51,34,,,,
2019-PAL-6-0434-02,1,23,2,,1,16000,5,34,,,,
2019-PAL2-6-0070,8,18,1,,2,,,34,,,,
2019-PAL2-6-0070,6,0,1,,,,,34,,,,
2019-UW-1-0467-04,1,36,1,,1,13000,5,34,,,,
2019-UW-1-0467-04,4,14,2,,,,,34,,,,
2019-UW-1-0467-04,4,8,2,,,,,34,,,,
2019-PAL5-2-0051-02,1,36,1,,3,,,34,,,,
2019-PAL5-2-0051-02,5,8,1,,,,,34,,,,
2019-PAL-4-0091-03,1,24,1,,1,13000,26,34,,,,
2019-UW-1-0100,4,48,2,,2,,,34,,,,
2019-UW-1-0100,2,81,1,,3,,,34,,,,
2019-UW-1-0100-02,2,31,2,,1,22000,5,34,,,,
2019-UW-1-0100-02,5,11,1,,,,,34,,,,
2019-UW-1-0100-02,5,14,1,,,,,34,,,,
2019-UW-1-0100-04,2,29,2,,3,,,34,,,,
2019-PAL-5-0225-02,1,42,2,,1,15000,5,34,,,,
2019-PAL3-4-0048-03,5,0,1,,,,,34,,,,
2019-PAL-6-0251,1,46,2,,2,,,34,,,,
2019-UW-1-0168,2,55,2,,3,,,34,,,,
2019-PAL-4-0014-02,1,35,2,,1,1500,22,34,,,,
2019-UW-1-0093,2,47,1,,1,12000,26,34,,,,
2019-UW-1-0093,5,16,1,,2,,,34,,,,
2019-UW-1-0093,5,7,1,,,,,34,,,,
2019-PAL2-3-0024,5,28,1,,2,,,34,,,,
2019-ISU-1-0030,4,7,2,,1,15000,5,34,,,,
2019-ISU-1-0030-02,2,29,1,,1,12000,5,34,,,,
2019-G2-3-0500-02,5,2,1,,,,,34,,,,
2019-UW-1-0064,2,38,2,,1,15000,51,34,,,,
2019-G2-3-0053,2,43,1,,1,10000,51,34,,,,
2019-G2-3-0053,4,20,2,,1,8000,5,34,,,,
2019-G2-3-0637-04,5,1,1,,,,,34,,,,
2019-G2-3-0637-04,5,8,1,,,,,34,,,,
2019-G2-3-0637-04,4,6,2,,,,,34,,,,
2019-G2-3-0637-04,2,37,1,,1,13000,5,34,,,,
2019-UW-1-0186,2,54,1,,1,12000,51,34,,,,
2019-UW-1-0186,5,31,1,,2,,,34,,,,
2019-UW-1-0186,4,24,2,,1,12000,5,34,,,,
2019-UW-1-0186-02,2,32,2,,1,20000,26,34,,,,
2019-UW-1-0186-02,4,6,2,,,,,34,,,,
2019-UW-1-0186-02,4,7,2,,,,,34,,,,
2019-PAL-3-0089-03,1,37,2,,1,7000,5,34,,,,
2019-UW-6-0245-02,6,24,1,,1,10000,5,34,,,,
2019-UW-6-0245-02,1,47,2,,2,,,34,,,,
2019-PAL2-3-0079-03,1,43,2,,1,5000,26,34,,,,
2019-PAN-2-0459,2,40,1,,2,,,34,,,,
2019-PAN-2-0459-03,2,27,1,,,,,34,,,,
2019-ISG-1-0031,2,34,1,,1,40000,22,34,,,,
2019-PAL-6-0253,1,43,2,,2,,,34,,,,
2019-PAL-6-0313,2,45,1,,1,15000,22,34,,,,
2019-PAL-6-0313,6,11,1,,,,,34,,,,
2019-UW-6-0267-02,10,24,2,,2,,,34,,,,
2019-PAL-6-0196-02,5,0,1,,,,,34,,,,
2019-PAL-6-0196-02,5,9,1,,,,,34,,,,
2019-G2-3-0050-03,1,42,1,,1,10000,51,34,,,,
2019-G2-3-0631,5,17,1,,2,,,34,,,,
2019-G2-3-0631,2,44,1,,1,15000,22,34,,,,
2019-PAL2-3-0051-03,1,38,2,,3,,,34,,,,
2019-UW-1-0389,2,44,1,,1,12000,5,34,,,,
2019-UW-1-0389,4,15,2,,2,,,34,,,,
2019-UW-1-0389-03,2,21,1,,1,12000,5,34,,,,
2019-UW-6-0064,2,52,2,,1,4000,22,34,,,,
2019-G2-3-0631,4,19,2,,2,,,34,,,,
2019-G2-3-0631,5,15,1,,2,,,34,,,,
2019-WC-4-0246-02,4,5,2,,,,,34,,,,
2019-WC-4-0246-02,5,13,1,,,,,34,,,,
2019-WC-4-0246-02,5,8,1,,,,,34,,,,
2019-PAL-6-0155,1,46,2,,2,,,34,,,,
2019-WC-3-0117,3,19,2,,2,,,34,,,,
2019-G2-3-0323-06,5,25,1,,1,12000,5,34,,,,
2019-G2-3-0323-06,2,55,1,,1,12000,5,34,,,,
2019-PAL-6-0177-09,1,56,2,,2,,,34,,,,
2019-PAL-6-0177-09,10,26,2,,1,14000,5,34,,,,
2019-PAL2-3-0080-02,2,45,1,,1,13000,51,34,,,,
2019-ISG-1-0003-02,4,24,2,,1,15000,26,34,,,,
2019-ISG-1-0003-02,2,58,1,,1,5000,26,34,,,,
2019-ISG-1-0003-02,4,24,2,,1,15000,5,34,,,,
2019-ISG-1-0048-02,5,3,1,,1,12000,51,34,,,,
2019-ISG-1-0128-02,4,15,2,,2,,,34,,,,
2019-ISG-1-0128-02,1,35,2,,3,,22,34,,,,
2019-ISG-1-0003-03,2,27,2,,1,18000,5,34,,,,
2019-UW-6-0175-02,1,29,2,,2,,,34,,,,
2019-PAL2-3-0029,1,41,2,,1,22000,26,34,,,,
2019-PAL-1-0091-02,2,32,2,,1,15000,22,34,,,,
2019-G2-3-0107-02,5,23,1,,3,,,34,,,,
2019-G2-3-0107-02,4,26,2,,2,,,34,,,,
2019-G2-3-0107-02,2,63,1,,1,20000,5,34,,,,
2019-WC-6-0046,4,16,2,,2,,,34,,,,
2019-WC-6-0046,5,3,1,,,,,34,,,,
2019-WC-6-0046,5,6,1,,,,,34,,,,
2019-WC-6-0046,4,9,2,,,,,34,,,,
2019-WC-6-0048,1,57,2,,2,,,34,,,,
2019-WC-6-0008,1,54,2,,1,7000,23,34,,,,
2019-WC-6-0046,2,43,1,,1,20000,5,34,,,,
2019-PAL-6-0236-03,4,26,2,,1,20000,5,34,,,,
2019-PAL-6-0236-03,4,31,2,,2,,,34,,,,
2019-PAL4-6-0020-02,5,2,1,,,,,34,,,,
2019-PAL4-6-0020-02,5,10,1,,,,,34,,,,
2019-PAL4-6-0020-02,1,33,1,,1,20000,5,34,,,,
2019-UW-6-0291,5,28,1,,2,,,34,,,,
2019-PAL-6-0177-07,2,32,1,,1,15000,1-Jan,34,,,,
2019-PAL-6-0177-07,4,5,2,,1,12000,51,34,,,,
2019-PAL-6-0177-07,5,1,1,,,,,34,,,,
2019-PAL-6-0314,2,48,1,,2,,,34,,,,
2019-PAL-6-0314,5,21,1,,2,,,34,,,,
2019-PAL-6-0314,4,18,2,,1,18000,5,34,,,,
2019-PAL2-6-0028-03,4,20,2,,2,,,34,,,,
2019-PAL3-3-0061-03,1,19,2,,2,,,34,,,,
2019-ISU-1-0480-02,4,11,2,,,,,34,,,,
2019-ISU-1-0480-02,4,9,2,,,,,34,,,,
2019-ISU-1-0480-02,4,7,2,,,,,34,,,,
2019-ISU-1-0480-02,5,12,1,,,,,34,,,,
2019-ISU-1-0480-02,5,2,1,,,,,34,,,,
2019-ISU-1-0480-02,2,54,1,,1,12000,51,34,,,,
2019-ISU-1-0481-02,2,23,2,,2,,,34,,,,
2019-ISU-1-0481-03,2,56,1,,1,13000,51,34,,,,
2019-ISU-1-0481-03,4,17,2,,2,,,34,,,,
2019-ISU-1-0481-03,5,19,1,,1,13000,51,34,,,,
2019-ISU-1-0483,2,63,1,,1,12000,51,34,,,,
2019-PAL-1-0265-02,5,9,1,,,,,34,,,,
2019-PAL-1-0265-02,2,35,1,,1,15000,5,34,,,,
2019-WC-6-0040,2,38,1,,1,35000,5,34,,,,
2019-WC-6-0040,5,7,1,,,,,34,,,,
2019-WC-6-0040,5,3,1,,,,,34,,,,
2019-WC-6-0040,4,6,2,,,,,34,,,,
2019-WC-6-0040,5,7,1,,,,,34,,,,
2019-PAL2-6-0096,4,17,2,,2,,,34,,,,
2019-PAL2-6-0096,2,59,1,,2,,,34,,,,
2019-PAL2-6-0096,4,23,2,,1,25000,5,34,,,,
2019-PAL2-6-0096-02,5,5,1,,,,,34,,,,
2019-PAL2-6-0096-02,5,3,1,,,,,34,,,,
2019-PAL2-6-0096-02,2,28,1,,1,70000,26,34,,,,
2019-ISG-1-0115,5,6,1,,,,,34,,,,
2019-ISG-1-0115,2,30,1,,1,12000,5,34,,,,
2019-WC-4-0165-02,1,30,1,,,,,34,,,,
2019-ISG-1-0114-02,2,26,2,,1,12000,5,34,,,,
2019-ISG-1-0115,5,12,1,,,,,34,,,,
2019-PAL-5-0001,1,29,2,,1,15000,5,34,,,,
2019-PAL2-6-0028-03,2,50,1,,2,,,34,,,,
2019-PAL2-6-0028-03,5,17,1,,,,,34,,,,
2019-PAL2-6-0028-03,4,11,2,,2,,,34,,,,
2019-UW-1-0074,2,48,2,,2,,,34,,,,
2019-UW-6-0004,1,40,2,,1,6000,11,34,,,,
2019-WC-3-0054-08,1,42,2,,1,24000,26,34,,,,
2019-G2-3-0431-02,1,57,1,,3,,,34,,,,
2019-PAL-1-0092-03,4,1,2,,,,,34,,,,
2019-PAL-1-0092-03,5,2,1,,,,,34,,,,
2019-PAL-1-0092-03,4,4,2,,,,,34,,,,
2019-PAL-1-0092-03,2,45,1,,1,15000,5,34,,,,
2019-PAL-6-0115-02,1,63,2,,3,,,34,,,,
2019-PAL3-6-0007-03,2,37,1,,1,14000,51,34,,,,
2019-PAL3-6-0007-03,4,1,2,,,,,34,,,,
2019-PAL3-6-0007-03,4,6,2,,,,,34,,,,
2019-PAL3-6-0007-03,4,9,2,,,,,34,,,,
2019-UW-1-0075,5,14,1,,,,,34,,,,
2019-UW-1-0075,2,44,1,,1,8000,51,34,,,,
2019-ISU-1-0484-03,1,32,2,,2,,,34,,,,
2019-PAL4-6-0012-04,6,4,1,,,,,34,,,,
2019-PAL4-6-0012-04,6,25,1,,1,20000,5,34,,,,
2019-PAL3-6-0001-03,4,2,2,,,,,34,,,,
2019-PAL3-6-0001-03,2,31,1,,1,22000,5,34,,,,
2019-G2-3-0486-05,5,5,1,,,,,34,,,,
2019-G2-3-0486-05,5,11,1,,,,,34,,,,
2019-G2-3-0486-05,2,47,1,,1,9000,51,34,,,,
2019-PAL-6-0470-02,1,32,2,,1,13000,5,34,,,,
2019-PAL-1-0278-02,2,21,2,,2,,,34,,,,
2019-PAL3-4-0052-02,2,33,1,,1,15000,5,34,,,,
2019-PAL3-4-0052-02,5,7,1,,,,,34,,,,
2019-PAL3-4-0052-02,4,10,2,,,,,34,,,,
2019-UW-6-0017,1,34,2,,1,15000,22,34,,,,
2019-PAN-2-0590-03,1,53,2,,2,,,34,,,,
2019-PAL-3-0048,2,22,2,,2,,,34,,,,
2019-PAL-3-0055,5,5,1,,,,,34,,,,
2019-PAL-3-0056,4,19,2,,1,14000,5,34,,,,
2019-PAL-3-0053,1,41,2,,2,,,34,,,,
2019-PAL-3-0055,2,40,1,,1,8000,5,34,,,,
2019-PAL-3-0055,4,11,2,,,,,34,,,,
2019-PAL-3-0055,5,12,1,,,,,34,,,,
2019-PAL-3-0056,4,17,2,,2,,,34,,,,
2019-PAL-6-0071,1,37,1,,2,,,34,,,,
2019-PAL-6-0071,5,4,1,,,,,34,,,,
2019-PAL-6-0524-02,2,31,1,,,,,34,,,,
2019-PAL-3-0006-03,6,1,2,,,,,34,,,,
2019-PAL-3-0028,4,16,2,,2,,,34,,,,
2019-PAL-3-0028,4,13,2,,,,,34,,,,
2019-PAL-3-0028,5,20,1,,2,,,34,,,,
2019-PAL-3-0028,5,18,1,,2,,,34,,,,
2019-UW-1-0181-02,2,41,2,,2,,,34,,,,
2019-UW-1-0181-02,4,12,2,,,,,34,,,,
2019-PAL4-3-0011-02,2,36,1,,1,12000,5,34,,,,
2019-PAL4-3-0011-03,1,32,1,,1,15000,5,34,,,,
2019-PAL4-3-0011-03,4,5,2,,,,,34,,,,
2019-PAL4-3-0011-03,5,11,1,,,,,34,,,,
2019-PAL4-3-0011-03,5,7,1,,,,,34,,,,
2019-PAL4-3-0011-02,4,10,2,,,,,34,,,,
2019-PAL4-3-0011-02,4,8,2,,,,,34,,,,
2019-PAL4-3-0011-02,5,6,1,,,,,34,,,,
2019-UW-6-0184-02,1,24,2,,1,15000,5,34,,,,
2019-UW-1-0343,1,47,2,,2,,,34,,,,
2019-UW-1-0069-03,1,38,2,,1,5000,5,34,,,,
2019-PAL-6-0015-06,1,34,2,,2,,,34,,,,
2019-PAL-6-0123,4,19,2,,2,,,34,,,,
2019-WC-6-0048,6,9,2,,,,,34,,,,
2019-WC-3-0151,1,32,2,,1,22000,5,34,,,,
2019-ISG-6-0070-04,1,26,2,,2,,,34,,,,
2019-PAL2-6-0051-04,1,31,2,,2,,,34,,,,
2019-PAL-2-0013-04,8,35,2,,2,,,34,,,,
2019-PAL2-6-0082-02,4,16,2,,,,,34,,,,
2019-PAL2-6-0082-02,5,9,1,,2,,,34,,,,
2019-PAL2-6-0082-02,4,14,2,,2,,,34,,,,
2019-G2-3-0012-02,4,22,2,,2,,,34,,,,
2019-G2-3-0012-02,4,18,2,,2,,,34,,,,
2019-G2-3-0012-02,5,31,1,,1,12000,51,34,,,,
2019-G2-3-0012-02,1,57,1,,1,12000,5,34,,,,
2019-G2-3-0012-02,4,20,2,,2,,,34,,,,
2019-UW-6-0152,2,61,2,,1,2800,26,34,,,,
2019-WC-3-0159,4,20,2,,2,,,34,,,,
